Unnamed: 0,serie,temporada,estadio,cidade,estado,dia_semana,dia_numero,mes,ano,hora_x,mandante,visitante,gol_mandante_x,gol_visitante_x,vitoria_mandante,vitoria_visitante,jogo_empatado,ponto_mandante,ponto_visitante,hora_y,gol_mandante_y,gol_visitante_y,Odd 1,Odd X,Odd 2
3764.0,A,2021.0,Alfredo Jaconi,Caxias do Sul,RS,Terça,30.0, Novembro ,2021,19:00,Juventude - RS,Red Bull Bragantino - SP,1.0,0.0,1.0,0.0,0.0,3.0,0.0,19:00,1,0,2.43,2.99,3.25
3763.0,A,2021.0,Antônio Accioly,Goiania,GO,Segunda,29.0, Novembro ,2021,19:00,Atlético - GO,Bahia - BA,2.0,1.0,1.0,0.0,0.0,3.0,0.0,19:00,2,1,2.54,3.04,3.01
3774.0,A,2021.0,Beira,Rio,Porto Alegre,Domingo,28.0, Novembro ,2021,19:00,Internacional - RS,Santos - SP,1.0,1.0,0.0,0.0,1.0,1.0,1.0,19:00,1,1,1.58,3.92,6.13
,,,,,,,,,2021,,Atlético Mineiro Saf - MG,Fluminense - RJ,,,,,,,,16:00,2,1,1.38,4.63,9.08
3772.0,A,2021.0,Neo Química Arena,Sao Paulo,SP,Domingo,28.0, Novembro ,2021,16:00,Corinthians - SP,Athletico Paranaense - PR,1.0,0.0,1.0,0.0,0.0,3.0,0.0,16:00,1,0,1.99,3.12,4.3
3771.0,A,2021.0,Morumbi,Sao Paulo,SP,Sábado,27.0, Novembro ,2021,21:30,São Paulo - SP,Sport - PE,2.0,0.0,1.0,0.0,0.0,3.0,0.0,21:30,2,0,1.49,4.09,7.18
,,,,,,,,,2021,,Red Bull Bragantino - SP,América Fc Saf - MG,,,,,,,,19:30,1,1,1.96,3.41,4.1
3769.0,A,2021.0,Arena Fonte Nova,Salvador,BA,Sexta,26.0, Novembro ,2021,19:00,Bahia - BA,Grêmio - RS,3.0,1.0,1.0,0.0,0.0,3.0,0.0,19:00,3,1,2.59,3.12,2.89
3762.0,A,2021.0,Arena Castelão,Fortaleza,CE,Quinta,25.0, Novembro ,2021,20:00,Ceará - CE,Corinthians - SP,2.0,1.0,1.0,0.0,0.0,3.0,0.0,20:00,2,1,2.36,3.09,3.3
3761.0,A,2021.0,Vila Belmiro,Santos,SP,Quinta,25.0, Novembro ,2021,19:00,Santos - SP,Fortaleza - CE,2.0,0.0,1.0,0.0,0.0,3.0,0.0,19:00,2,0,2.78,2.98,2.82
3760.0,A,2021.0,Maracanã,Rio de Janeiro,RJ,Quarta,24.0, Novembro ,2021,21:30,Fluminense - RJ,Internacional - RS,1.0,0.0,1.0,0.0,0.0,3.0,0.0,21:30,1,0,2.39,3.04,3.26
