Year,Time,Home Team,Home Score,Away Score,Away Team,Odd 1,Odd X,Odd 2
2021,20:30,Sport Recife,2,0,Atletico GO,+144,+188,+231
2021,18:15,Sao Paulo,1,0,Internacional,-130,+254,+397
2021,16:00,Ceara,1,0,Fluminense,+131,+206,+244
2021,16:00,Gremio,1,3,Palmeiras,+184,+225,+152
2021,21:00,America MG,2,1,Fortaleza,+102,+200,+263
2021,19:15,Juventude,0,0,Bahia,+141,+194,+229
2021,19:00,Flamengo RJ,1,0,Atletico-MG,+125,+229,+227
2021,17:00,Athletico-PR,0,1,Santos,-125,+242,+374
2021,19:00,Bragantino,3,0,Sport Recife,-213,+319,+615
2021,19:00,Bahia,1,1,Ceara,+104,+224,+277
2021,19:00,Santos,2,0,Fluminense,+154,+199,+202
2021,21:30,Palmeiras,2,1,Sport Recife,-278,+366,+778
2021,20:00,Atletico GO,2,0,Gremio,+177,+204,+169
2021,20:30,Bahia,3,0,Chapecoense-SC,-217,+323,+604
2021,18:15,Bragantino,1,0,Sao Paulo,+169,+211,+169
2021,16:00,Atletico-MG,2,1,Cuiaba,-357,+434,+1046
2021,16:00,Internacional,2,2,Corinthians,+114,+214,+274
2021,19:15,Fortaleza,3,0,Athletico-PR,-179,+279,+551
2021,19:00,Fluminense,3,1,Flamengo RJ,+374,+229,-119
2021,17:00,Juventude,0,0,Ceara,+175,+190,+184
2021,17:00,Santos,0,2,America MG,+135,+211,+222
2021,20:00,Internacional,1,1,Bragantino,-120,+254,+328
2021,19:00,Ceara,1,2,Palmeiras,+209,+216,+140
2021,20:00,Sao Paulo,1,0,Corinthians,+119,+206,+281
2021,20:30,Flamengo RJ,0,0,Cuiaba,-385,+468,+1057
2021,20:30,Sport Recife,0,0,Santos,+162,+197,+197
2021,18:15,Atletico GO,2,1,Atletico-MG,+417,+250,-137
2021,18:15,Ceara,2,2,Bragantino,+127,+218,+240
2021,18:15,Gremio,3,2,Juventude,-141,+242,+457
2021,16:00,Athletico-PR,0,1,Fluminense,+149,+202,+211
2021,16:00,Palmeiras,1,0,Internacional,-122,+262,+349
2021,21:00,America MG,0,0,Bahia,-101,+240,+285
2021,19:00,Chapecoense-SC,1,2,Fortaleza,+376,+259,-130
2021,19:00,Cuiaba,1,0,Sport Recife,+112,+196,+308
2021,19:00,Sao Paulo,1,1,Ceara,-141,+248,+433
2021,21:30,Internacional,3,1,America MG,-106,+233,+311
2021,21:00,Corinthians,1,0,Fluminense,-106,+216,+348
2021,20:30,Fortaleza,1,0,Gremio,-118,+240,+349
2021,19:00,Atletico-MG,3,1,Santos,-227,+333,+666
2021,19:00,Chapecoense-SC,1,1,Athletico-PR,+295,+233,-102
2021,19:00,Flamengo RJ,3,1,Juventude,-278,+378,+794
2021,21:30,Bahia,0,0,Palmeiras,+209,+224,+134
2021,19:00,Bragantino,1,0,Atletico GO,-135,+252,+398
2021,20:00,Cuiaba,0,0,Sao Paulo,+272,+200,+121
2021,16:00,Santos,1,0,Gremio,+167,+206,+181
2021,11:00,Internacional,5,2,Chapecoense-SC,-250,+359,+708
2021,21:00,Juventude,1,1,America MG,+204,+183,+168
2021,21:00,Palmeiras,2,4,Bragantino,-122,+259,+349
2021,19:00,Athletico-PR,0,2,Bahia,-149,+268,+437
